,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1708,Boy 0-2 Yrs,100,11.978,11.978,12.929,12.929,17.954,17.954,19.612,19.612
1709,Boy 0-2 Yrs,100.1,11.998,11.998,12.952,12.952,17.988,17.988,19.65,19.65
1710,Boy 0-2 Yrs,100.2,12.018,12.018,12.974,12.974,18.022,18.022,19.688,19.688
1711,Boy 0-2 Yrs,100.4,12.059,12.059,13.019,13.019,18.091,18.091,19.766,19.766
1712,Boy 0-2 Yrs,100.5,12.079,12.079,13.042,13.042,18.126,18.126,19.805,19.805
1713,Boy 0-2 Yrs,100.6,12.1,12.1,13.065,13.065,18.16,18.16,19.844,19.844
1714,Boy 0-2 Yrs,100.7,12.12,12.12,13.087,13.087,18.195,18.195,19.883,19.883
1715,Boy 0-2 Yrs,100.8,12.141,12.141,13.11,13.11,18.23,18.23,19.922,19.922
1716,Boy 0-2 Yrs,100.9,12.162,12.162,13.133,13.133,18.265,18.265,19.962,19.962
1717,Boy 0-2 Yrs,101,12.182,12.182,13.155,13.155,18.3,18.3,20.002,20.002
1718,Boy 0-2 Yrs,101.1,12.203,12.203,13.178,13.178,18.335,18.335,20.041,20.041
1719,Boy 0-2 Yrs,101.2,12.224,12.224,13.201,13.201,18.371,18.371,20.081,20.081
1720,Boy 0-2 Yrs,101.3,12.244,12.244,13.224,13.224,18.406,18.406,20.121,20.121
1721,Boy 0-2 Yrs,101.4,12.265,12.265,13.247,13.247,18.442,18.442,20.161,20.161
1722,Boy 0-2 Yrs,101.5,12.286,12.286,13.27,13.27,18.478,18.478,20.201,20.201
1723,Boy 0-2 Yrs,101.6,12.307,12.307,13.293,13.293,18.514,18.514,20.242,20.242
1724,Boy 0-2 Yrs,101.7,12.328,12.328,13.317,13.317,18.55,18.55,20.282,20.282
1725,Boy 0-2 Yrs,101.8,12.349,12.349,13.34,13.34,18.586,18.586,20.322,20.322
1726,Boy 0-2 Yrs,101.9,12.37,12.37,13.363,13.363,18.622,18.622,20.364,20.364
1727,Boy 0-2 Yrs,102,12.391,12.391,13.386,13.386,18.658,18.658,20.404,20.404
1728,Boy 0-2 Yrs,102.1,12.412,12.412,13.41,13.41,18.695,18.695,20.445,20.445
1729,Boy 0-2 Yrs,102.2,12.433,12.433,13.433,13.433,18.731,18.731,20.487,20.487
1730,Boy 0-2 Yrs,102.3,12.454,12.454,13.457,13.457,18.768,18.768,20.528,20.528
1731,Boy 0-2 Yrs,102.4,12.476,12.476,13.48,13.48,18.804,18.804,20.569,20.569
1732,Boy 0-2 Yrs,102.5,12.497,12.497,13.504,13.504,18.841,18.841,20.61,20.61
1733,Boy 0-2 Yrs,102.6,12.518,12.518,13.528,13.528,18.878,18.878,20.652,20.652
1734,Boy 0-2 Yrs,102.7,12.539,12.539,13.551,13.551,18.915,18.915,20.694,20.694
1735,Boy 0-2 Yrs,102.8,12.561,12.561,13.575,13.575,18.952,18.952,20.736,20.736
1736,Boy 0-2 Yrs,102.9,12.582,12.582,13.599,13.599,18.989,18.989,20.778,20.778
1737,Boy 0-2 Yrs,103,12.604,12.604,13.623,13.623,19.027,19.027,20.819,20.819
1738,Boy 0-2 Yrs,103.1,12.625,12.625,13.646,13.646,19.064,19.064,20.862,20.862
1739,Boy 0-2 Yrs,103.2,12.647,12.647,13.67,13.67,19.102,19.102,20.904,20.904
1740,Boy 0-2 Yrs,103.3,12.669,12.669,13.694,13.694,19.139,19.139,20.947,20.947
1741,Boy 0-2 Yrs,103.4,12.69,12.69,13.718,13.718,19.177,19.177,20.99,20.99
1742,Boy 0-2 Yrs,103.5,12.712,12.712,13.742,13.742,19.215,19.215,21.032,21.032
1743,Boy 0-2 Yrs,103.6,12.733,12.733,13.766,13.766,19.253,19.253,21.075,21.075
1744,Boy 0-2 Yrs,103.7,12.755,12.755,13.791,13.791,19.291,19.291,21.118,21.118
1745,Boy 0-2 Yrs,103.8,12.777,12.777,13.815,13.815,19.329,19.329,21.16,21.16
1746,Boy 0-2 Yrs,103.9,12.799,12.799,13.839,13.839,19.367,19.367,21.204,21.204
1747,Boy 0-2 Yrs,104,12.821,12.821,13.863,13.863,19.405,19.405,21.247,21.247
1748,Boy 0-2 Yrs,104.1,12.842,12.842,13.888,13.888,19.444,19.444,21.291,21.291
1749,Boy 0-2 Yrs,104.3,12.886,12.886,13.937,13.937,19.521,19.521,21.378,21.378
1750,Boy 0-2 Yrs,104.4,12.909,12.909,13.961,13.961,19.559,19.559,21.421,21.421
1751,Boy 0-2 Yrs,104.5,12.93,12.93,13.985,13.985,19.598,19.598,21.465,21.465
1752,Boy 0-2 Yrs,104.6,12.952,12.952,14.01,14.01,19.637,19.637,21.509,21.509
1753,Boy 0-2 Yrs,104.7,12.975,12.975,14.035,14.035,19.675,19.675,21.553,21.553
1754,Boy 0-2 Yrs,104.8,12.997,12.997,14.059,14.059,19.715,19.715,21.597,21.597
1755,Boy 0-2 Yrs,104.9,13.019,13.019,14.084,14.084,19.753,19.753,21.641,21.641
1756,Boy 0-2 Yrs,105,13.041,13.041,14.109,14.109,19.793,19.793,21.686,21.686
1757,Boy 0-2 Yrs,105.1,13.064,13.064,14.134,14.134,19.832,19.832,21.73,21.73
1758,Boy 0-2 Yrs,105.2,13.086,13.086,14.159,14.159,19.871,19.871,21.775,21.775
1759,Boy 0-2 Yrs,105.3,13.108,13.108,14.183,14.183,19.911,19.911,21.82,21.82
1760,Boy 0-2 Yrs,105.4,13.131,13.131,14.209,14.209,19.95,19.95,21.864,21.864
1761,Boy 0-2 Yrs,105.5,13.153,13.153,14.233,14.233,19.99,19.99,21.909,21.909
1762,Boy 0-2 Yrs,105.6,13.176,13.176,14.258,14.258,20.03,20.03,21.954,21.954
1763,Boy 0-2 Yrs,105.7,13.198,13.198,14.283,14.283,20.07,20.07,22,22
1764,Boy 0-2 Yrs,105.8,13.221,13.221,14.309,14.309,20.11,20.11,22.044,22.044
1765,Boy 0-2 Yrs,105.9,13.243,13.243,14.334,14.334,20.15,20.15,22.09,22.09
1766,Boy 0-2 Yrs,106,13.266,13.266,14.359,14.359,20.19,20.19,22.136,22.136
1767,Boy 0-2 Yrs,106.1,13.289,13.289,14.384,14.384,20.231,20.231,22.182,22.182
1768,Boy 0-2 Yrs,106.2,13.312,13.312,14.41,14.41,20.271,20.271,22.227,22.227
1769,Boy 0-2 Yrs,106.3,13.335,13.335,14.435,14.435,20.311,20.311,22.273,22.273
1770,Boy 0-2 Yrs,106.4,13.357,13.357,14.461,14.461,20.352,20.352,22.319,22.319
1771,Boy 0-2 Yrs,106.5,13.38,13.38,14.486,14.486,20.393,20.393,22.365,22.365
1772,Boy 0-2 Yrs,106.6,13.403,13.403,14.512,14.512,20.434,20.434,22.412,22.412
1773,Boy 0-2 Yrs,106.7,13.426,13.426,14.537,14.537,20.475,20.475,22.458,22.458
1774,Boy 0-2 Yrs,106.8,13.449,13.449,14.563,14.563,20.516,20.516,22.505,22.505
1775,Boy 0-2 Yrs,106.9,13.473,13.473,14.589,14.589,20.556,20.556,22.551,22.551
1776,Boy 0-2 Yrs,107,13.496,13.496,14.615,14.615,20.598,20.598,22.598,22.598
1777,Boy 0-2 Yrs,107.1,13.519,13.519,14.641,14.641,20.639,20.639,22.645,22.645
1778,Boy 0-2 Yrs,107.2,13.542,13.542,14.667,14.667,20.68,20.68,22.692,22.692
1779,Boy 0-2 Yrs,107.3,13.565,13.565,14.692,14.692,20.722,20.722,22.739,22.739
1780,Boy 0-2 Yrs,107.4,13.588,13.588,14.718,14.718,20.764,20.764,22.786,22.786
1781,Boy 0-2 Yrs,107.5,13.611,13.611,14.744,14.744,20.806,20.806,22.835,22.835
1782,Boy 0-2 Yrs,107.6,13.635,13.635,14.77,14.77,20.848,20.848,22.882,22.882
1783,Boy 0-2 Yrs,107.7,13.658,13.658,14.797,14.797,20.89,20.89,22.93,22.93
1784,Boy 0-2 Yrs,107.8,13.682,13.682,14.823,14.823,20.932,20.932,22.978,22.978
1785,Boy 0-2 Yrs,107.9,13.705,13.705,14.849,14.849,20.974,20.974,23.025,23.025
1786,Boy 0-2 Yrs,108,13.729,13.729,14.875,14.875,21.016,21.016,23.073,23.073
1787,Boy 0-2 Yrs,108.2,13.776,13.776,14.928,14.928,21.101,21.101,23.17,23.17
1788,Boy 0-2 Yrs,108.3,13.8,13.8,14.954,14.954,21.144,21.144,23.219,23.219
1789,Boy 0-2 Yrs,108.4,13.823,13.823,14.981,14.981,21.187,21.187,23.268,23.268
1790,Boy 0-2 Yrs,108.5,13.847,13.847,15.008,15.008,21.229,21.229,23.316,23.316
1791,Boy 0-2 Yrs,108.6,13.871,13.871,15.034,15.034,21.272,21.272,23.365,23.365
1792,Boy 0-2 Yrs,108.7,13.895,13.895,15.061,15.061,21.316,21.316,23.415,23.415
1793,Boy 0-2 Yrs,108.8,13.919,13.919,15.088,15.088,21.359,21.359,23.464,23.464
1794,Boy 0-2 Yrs,108.9,13.943,13.943,15.115,15.115,21.402,21.402,23.513,23.513
1795,Boy 0-2 Yrs,109,13.967,13.967,15.142,15.142,21.446,21.446,23.562,23.562
1796,Boy 0-2 Yrs,109.1,13.991,13.991,15.168,15.168,21.49,21.49,23.612,23.612
1797,Boy 0-2 Yrs,109.2,14.015,14.015,15.195,15.195,21.533,21.533,23.662,23.662
1798,Boy 0-2 Yrs,109.3,14.04,14.04,15.223,15.223,21.577,21.577,23.712,23.712
1799,Boy 0-2 Yrs,109.4,14.064,14.064,15.25,15.25,21.621,21.621,23.762,23.762
1800,Boy 0-2 Yrs,109.5,14.088,14.088,15.277,15.277,21.665,21.665,23.812,23.812
1801,Boy 0-2 Yrs,109.6,14.112,14.112,15.304,15.304,21.71,21.71,23.863,23.863
1802,Boy 0-2 Yrs,109.7,14.137,14.137,15.332,15.332,21.754,21.754,23.913,23.913
1803,Boy 0-2 Yrs,109.8,14.162,14.162,15.359,15.359,21.798,21.798,23.964,23.964
1804,Boy 0-2 Yrs,109.9,14.186,14.186,15.386,15.386,21.843,21.843,24.015,24.015
1805,Boy 0-2 Yrs,110,14.211,14.211,15.414,15.414,21.888,21.888,24.066,24.066
1806,Boy 2 - 5 yrs,65,5.868,5.868,6.335,6.335,8.804,8.804,9.619,9.619
1807,Boy 2 - 5 yrs,65.1,5.887,5.887,6.355,6.355,8.831,8.831,9.649,9.649
1808,Boy 2 - 5 yrs,65.2,5.905,5.905,6.376,6.376,8.859,8.859,9.68,9.68
1809,Boy 2 - 5 yrs,65.3,5.924,5.924,6.396,6.396,8.887,8.887,9.71,9.71
1810,Boy 2 - 5 yrs,65.4,5.943,5.943,6.416,6.416,8.915,8.915,9.74,9.74
1811,Boy 2 - 5 yrs,65.5,5.961,5.961,6.436,6.436,8.943,8.943,9.771,9.771
1812,Boy 2 - 5 yrs,65.6,5.98,5.98,6.456,6.456,8.97,8.97,9.801,9.801
1813,Boy 2 - 5 yrs,65.7,5.999,5.999,6.476,6.476,8.998,8.998,9.831,9.831
1814,Boy 2 - 5 yrs,65.8,6.017,6.017,6.496,6.496,9.026,9.026,9.861,9.861
1815,Boy 2 - 5 yrs,65.9,6.035,6.035,6.516,6.516,9.053,9.053,9.891,9.891
1816,Boy 2 - 5 yrs,66,6.054,6.054,6.536,6.536,9.081,9.081,9.921,9.921
1817,Boy 2 - 5 yrs,66.1,6.072,6.072,6.556,6.556,9.108,9.108,9.951,9.951
1818,Boy 2 - 5 yrs,66.2,6.091,6.091,6.575,6.575,9.136,9.136,9.981,9.981
1819,Boy 2 - 5 yrs,66.3,6.109,6.109,6.595,6.595,9.163,9.163,10.011,10.011
1820,Boy 2 - 5 yrs,66.4,6.127,6.127,6.615,6.615,9.191,9.191,10.041,10.041
1821,Boy 2 - 5 yrs,66.5,6.146,6.146,6.635,6.635,9.218,9.218,10.071,10.071
1822,Boy 2 - 5 yrs,66.6,6.164,6.164,6.654,6.654,9.246,9.246,10.101,10.101
1823,Boy 2 - 5 yrs,66.7,6.182,6.182,6.674,6.674,9.273,9.273,10.131,10.131
1824,Boy 2 - 5 yrs,66.8,6.2,6.2,6.694,6.694,9.3,9.3,10.161,10.161
1825,Boy 2 - 5 yrs,67,6.236,6.236,6.733,6.733,9.355,9.355,10.221,10.221
1826,Boy 2 - 5 yrs,67.1,6.255,6.255,6.752,6.752,9.382,9.382,10.251,10.251
1827,Boy 2 - 5 yrs,67.2,6.273,6.273,6.772,6.772,9.409,9.409,10.28,10.28
1828,Boy 2 - 5 yrs,67.3,6.291,6.291,6.791,6.791,9.436,9.436,10.31,10.31
1829,Boy 2 - 5 yrs,67.4,6.309,6.309,6.811,6.811,9.464,9.464,10.34,10.34
1830,Boy 2 - 5 yrs,67.5,6.327,6.327,6.83,6.83,9.491,9.491,10.369,10.369
1831,Boy 2 - 5 yrs,67.6,6.345,6.345,6.85,6.85,9.518,9.518,10.399,10.399
1832,Boy 2 - 5 yrs,67.7,6.363,6.363,6.869,6.869,9.545,9.545,10.429,10.429
1833,Boy 2 - 5 yrs,67.8,6.38,6.38,6.888,6.888,9.572,9.572,10.459,10.459
1834,Boy 2 - 5 yrs,67.9,6.398,6.398,6.908,6.908,9.599,9.599,10.488,10.488
1835,Boy 2 - 5 yrs,68,6.416,6.416,6.927,6.927,9.626,9.626,10.518,10.518
1836,Boy 2 - 5 yrs,68.1,6.434,6.434,6.946,6.946,9.654,9.654,10.548,10.548
1837,Boy 2 - 5 yrs,68.2,6.452,6.452,6.966,6.966,9.681,9.681,10.578,10.578
1838,Boy 2 - 5 yrs,68.3,6.47,6.47,6.985,6.985,9.708,9.708,10.607,10.607
1839,Boy 2 - 5 yrs,68.4,6.488,6.488,7.004,7.004,9.735,9.735,10.637,10.637
1840,Boy 2 - 5 yrs,68.5,6.505,6.505,7.024,7.024,9.762,9.762,10.667,10.667
1841,Boy 2 - 5 yrs,68.6,6.523,6.523,7.043,7.043,9.789,9.789,10.697,10.697
1842,Boy 2 - 5 yrs,68.7,6.541,6.541,7.062,7.062,9.816,9.816,10.726,10.726
1843,Boy 2 - 5 yrs,68.8,6.559,6.559,7.081,7.081,9.843,9.843,10.756,10.756
1844,Boy 2 - 5 yrs,68.9,6.576,6.576,7.101,7.101,9.871,9.871,10.786,10.786
1845,Boy 2 - 5 yrs,69,6.594,6.594,7.12,7.12,9.898,9.898,10.816,10.816
1846,Boy 2 - 5 yrs,69.1,6.612,6.612,7.139,7.139,9.925,9.925,10.845,10.845
1847,Boy 2 - 5 yrs,69.2,6.63,6.63,7.158,7.158,9.952,9.952,10.875,10.875
1848,Boy 2 - 5 yrs,69.3,6.647,6.647,7.177,7.177,9.979,9.979,10.905,10.905
1849,Boy 2 - 5 yrs,69.4,6.665,6.665,7.197,7.197,10.006,10.006,10.934,10.934
1850,Boy 2 - 5 yrs,69.5,6.683,6.683,7.216,7.216,10.033,10.033,10.964,10.964
1851,Boy 2 - 5 yrs,69.6,6.7,6.7,7.235,7.235,10.06,10.06,10.994,10.994
1852,Boy 2 - 5 yrs,69.7,6.718,6.718,7.254,7.254,10.087,10.087,11.023,11.023
1853,Boy 2 - 5 yrs,69.8,6.735,6.735,7.273,7.273,10.114,10.114,11.053,11.053
1854,Boy 2 - 5 yrs,69.9,6.753,6.753,7.292,7.292,10.141,10.141,11.083,11.083
1855,Boy 2 - 5 yrs,70,6.771,6.771,7.311,7.311,10.168,10.168,11.112,11.112
1856,Boy 2 - 5 yrs,70.1,6.788,6.788,7.33,7.33,10.195,10.195,11.142,11.142
1857,Boy 2 - 5 yrs,70.2,6.805,6.805,7.349,7.349,10.222,10.222,11.172,11.172
1858,Boy 2 - 5 yrs,70.3,6.823,6.823,7.368,7.368,10.248,10.248,11.201,11.201
1859,Boy 2 - 5 yrs,70.4,6.84,6.84,7.387,7.387,10.275,10.275,11.23,11.23
1860,Boy 2 - 5 yrs,70.5,6.858,6.858,7.406,7.406,10.302,10.302,11.259,11.259
1861,Boy 2 - 5 yrs,70.6,6.875,6.875,7.424,7.424,10.329,10.329,11.289,11.289
1862,Boy 2 - 5 yrs,70.7,6.892,6.892,7.443,7.443,10.355,10.355,11.318,11.318
1863,Boy 2 - 5 yrs,70.9,6.927,6.927,7.48,7.48,10.408,10.408,11.377,11.377
1864,Boy 2 - 5 yrs,71,6.944,6.944,7.499,7.499,10.435,10.435,11.406,11.406
1865,Boy 2 - 5 yrs,71.1,6.961,6.961,7.518,7.518,10.461,10.461,11.435,11.435
1866,Boy 2 - 5 yrs,71.2,6.978,6.978,7.536,7.536,10.488,10.488,11.464,11.464
1867,Boy 2 - 5 yrs,71.3,6.995,6.995,7.555,7.555,10.514,10.514,11.493,11.493
1868,Boy 2 - 5 yrs,71.4,7.012,7.012,7.573,7.573,10.54,10.54,11.522,11.522
1869,Boy 2 - 5 yrs,71.5,7.029,7.029,7.592,7.592,10.567,10.567,11.551,11.551
1870,Boy 2 - 5 yrs,71.6,7.046,7.046,7.61,7.61,10.593,10.593,11.58,11.58
1871,Boy 2 - 5 yrs,71.7,7.063,7.063,7.628,7.628,10.619,10.619,11.608,11.608
1872,Boy 2 - 5 yrs,71.8,7.08,7.08,7.647,7.647,10.645,10.645,11.637,11.637
1873,Boy 2 - 5 yrs,71.9,7.097,7.097,7.665,7.665,10.671,10.671,11.666,11.666
1874,Boy 2 - 5 yrs,72,7.113,7.113,7.683,7.683,10.697,10.697,11.694,11.694
1875,Boy 2 - 5 yrs,72.1,7.13,7.13,7.701,7.701,10.723,10.723,11.723,11.723
1876,Boy 2 - 5 yrs,72.2,7.147,7.147,7.719,7.719,10.749,10.749,11.751,11.751
1877,Boy 2 - 5 yrs,72.3,7.163,7.163,7.737,7.737,10.774,10.774,11.78,11.78
1878,Boy 2 - 5 yrs,72.4,7.18,7.18,7.755,7.755,10.8,10.8,11.808,11.808
1879,Boy 2 - 5 yrs,72.5,7.196,7.196,7.773,7.773,10.826,10.826,11.836,11.836
1880,Boy 2 - 5 yrs,72.6,7.213,7.213,7.791,7.791,10.851,10.851,11.864,11.864
1881,Boy 2 - 5 yrs,72.7,7.229,7.229,7.809,7.809,10.877,10.877,11.892,11.892
1882,Boy 2 - 5 yrs,72.8,7.246,7.246,7.827,7.827,10.902,10.902,11.92,11.92
1883,Boy 2 - 5 yrs,72.9,7.262,7.262,7.844,7.844,10.927,10.927,11.948,11.948
1884,Boy 2 - 5 yrs,73,7.278,7.278,7.862,7.862,10.952,10.952,11.975,11.975
1885,Boy 2 - 5 yrs,73.1,7.294,7.294,7.88,7.88,10.978,10.978,12.003,12.003
1886,Boy 2 - 5 yrs,73.2,7.311,7.311,7.897,7.897,11.003,11.003,12.031,12.031
1887,Boy 2 - 5 yrs,73.3,7.327,7.327,7.915,7.915,11.028,11.028,12.059,12.059
1888,Boy 2 - 5 yrs,73.4,7.343,7.343,7.932,7.932,11.053,11.053,12.086,12.086
1889,Boy 2 - 5 yrs,73.5,7.359,7.359,7.95,7.95,11.078,11.078,12.113,12.113
1890,Boy 2 - 5 yrs,73.6,7.375,7.375,7.967,7.967,11.103,11.103,12.141,12.141
1891,Boy 2 - 5 yrs,73.7,7.391,7.391,7.985,7.985,11.127,11.127,12.168,12.168
1892,Boy 2 - 5 yrs,73.8,7.407,7.407,8.002,8.002,11.152,11.152,12.195,12.195
1893,Boy 2 - 5 yrs,73.9,7.423,7.423,8.019,8.019,11.177,11.177,12.222,12.222
1894,Boy 2 - 5 yrs,74,7.439,7.439,8.036,8.036,11.201,11.201,12.25,12.25
1895,Boy 2 - 5 yrs,74.1,7.455,7.455,8.054,8.054,11.226,11.226,12.277,12.277
1896,Boy 2 - 5 yrs,74.2,7.471,7.471,8.071,8.071,11.25,11.25,12.304,12.304
1897,Boy 2 - 5 yrs,74.3,7.486,7.486,8.088,8.088,11.275,11.275,12.33,12.33
1898,Boy 2 - 5 yrs,74.4,7.502,7.502,8.105,8.105,11.299,11.299,12.357,12.357
1899,Boy 2 - 5 yrs,74.5,7.518,7.518,8.122,8.122,11.324,11.324,12.384,12.384
1900,Boy 2 - 5 yrs,74.6,7.533,7.533,8.139,8.139,11.348,11.348,12.411,12.411
1901,Boy 2 - 5 yrs,74.8,7.565,7.565,8.173,8.173,11.396,11.396,12.464,12.464
1902,Boy 2 - 5 yrs,74.9,7.58,7.58,8.19,8.19,11.42,11.42,12.49,12.49
1903,Boy 2 - 5 yrs,75,7.596,7.596,8.207,8.207,11.444,11.444,12.516,12.516
1904,Boy 2 - 5 yrs,75.1,7.611,7.611,8.223,8.223,11.468,11.468,12.543,12.543
1905,Boy 2 - 5 yrs,75.2,7.626,7.626,8.24,8.24,11.492,11.492,12.569,12.569
1906,Boy 2 - 5 yrs,75.3,7.641,7.641,8.257,8.257,11.515,11.515,12.595,12.595
1907,Boy 2 - 5 yrs,75.4,7.657,7.657,8.273,8.273,11.539,11.539,12.621,12.621
1908,Boy 2 - 5 yrs,75.5,7.672,7.672,8.29,8.29,11.562,11.562,12.646,12.646
1909,Boy 2 - 5 yrs,75.6,7.687,7.687,8.306,8.306,11.585,11.585,12.672,12.672
1910,Boy 2 - 5 yrs,75.7,7.702,7.702,8.323,8.323,11.609,11.609,12.698,12.698
1911,Boy 2 - 5 yrs,75.8,7.717,7.717,8.339,8.339,11.632,11.632,12.723,12.723
1912,Boy 2 - 5 yrs,75.9,7.732,7.732,8.355,8.355,11.655,11.655,12.749,12.749
1913,Boy 2 - 5 yrs,76,7.747,7.747,8.371,8.371,11.678,11.678,12.773,12.773
1914,Boy 2 - 5 yrs,76.1,7.762,7.762,8.387,8.387,11.701,11.701,12.799,12.799
1915,Boy 2 - 5 yrs,76.2,7.777,7.777,8.403,8.403,11.723,11.723,12.824,12.824
1916,Boy 2 - 5 yrs,76.3,7.792,7.792,8.42,8.42,11.746,11.746,12.848,12.848
1917,Boy 2 - 5 yrs,76.4,7.807,7.807,8.436,8.436,11.769,11.769,12.873,12.873
1918,Boy 2 - 5 yrs,76.5,7.821,7.821,8.452,8.452,11.791,11.791,12.898,12.898
1919,Boy 2 - 5 yrs,76.6,7.836,7.836,8.467,8.467,11.813,11.813,12.923,12.923
1920,Boy 2 - 5 yrs,76.7,7.851,7.851,8.483,8.483,11.836,11.836,12.947,12.947
1921,Boy 2 - 5 yrs,76.8,7.865,7.865,8.499,8.499,11.858,11.858,12.972,12.972
1922,Boy 2 - 5 yrs,76.9,7.88,7.88,8.515,8.515,11.88,11.88,12.996,12.996
1923,Boy 2 - 5 yrs,77,7.895,7.895,8.531,8.531,11.902,11.902,13.02,13.02
1924,Boy 2 - 5 yrs,77.1,7.909,7.909,8.546,8.546,11.925,11.925,13.044,13.044
1925,Boy 2 - 5 yrs,77.2,7.923,7.923,8.562,8.562,11.946,11.946,13.068,13.068
1926,Boy 2 - 5 yrs,77.3,7.938,7.938,8.578,8.578,11.968,11.968,13.092,13.092
1927,Boy 2 - 5 yrs,77.4,7.952,7.952,8.593,8.593,11.99,11.99,13.116,13.116
1928,Boy 2 - 5 yrs,77.5,7.967,7.967,8.609,8.609,12.012,12.012,13.14,13.14
1929,Boy 2 - 5 yrs,77.6,7.981,7.981,8.624,8.624,12.033,12.033,13.164,13.164
1930,Boy 2 - 5 yrs,77.7,7.995,7.995,8.64,8.64,12.055,12.055,13.187,13.187
1931,Boy 2 - 5 yrs,77.8,8.01,8.01,8.655,8.655,12.077,12.077,13.211,13.211
1932,Boy 2 - 5 yrs,77.9,8.024,8.024,8.671,8.671,12.098,12.098,13.234,13.234
1933,Boy 2 - 5 yrs,78,8.039,8.039,8.686,8.686,12.12,12.12,13.258,13.258
1934,Boy 2 - 5 yrs,78.1,8.053,8.053,8.702,8.702,12.141,12.141,13.281,13.281
1935,Boy 2 - 5 yrs,78.2,8.067,8.067,8.718,8.718,12.162,12.162,13.304,13.304
1936,Boy 2 - 5 yrs,78.3,8.082,8.082,8.733,8.733,12.184,12.184,13.328,13.328
1937,Boy 2 - 5 yrs,78.4,8.096,8.096,8.749,8.749,12.205,12.205,13.351,13.351
1938,Boy 2 - 5 yrs,78.5,8.111,8.111,8.764,8.764,12.227,12.227,13.375,13.375
1939,Boy 2 - 5 yrs,78.7,8.14,8.14,8.795,8.795,12.269,12.269,13.421,13.421
1940,Boy 2 - 5 yrs,78.8,8.154,8.154,8.811,8.811,12.291,12.291,13.445,13.445
1941,Boy 2 - 5 yrs,78.9,8.169,8.169,8.826,8.826,12.313,12.313,13.468,13.468
1942,Boy 2 - 5 yrs,79,8.183,8.183,8.842,8.842,12.334,12.334,13.491,13.491
1943,Boy 2 - 5 yrs,79.1,8.198,8.198,8.858,8.858,12.355,12.355,13.514,13.514
1944,Boy 2 - 5 yrs,79.2,8.213,8.213,8.874,8.874,12.377,12.377,13.538,13.538
1945,Boy 2 - 5 yrs,79.3,8.227,8.227,8.89,8.89,12.399,12.399,13.561,13.561
1946,Boy 2 - 5 yrs,79.4,8.242,8.242,8.906,8.906,12.42,12.42,13.585,13.585
1947,Boy 2 - 5 yrs,79.5,8.257,8.257,8.922,8.922,12.442,12.442,13.608,13.608
1948,Boy 2 - 5 yrs,79.6,8.272,8.272,8.938,8.938,12.464,12.464,13.632,13.632
1949,Boy 2 - 5 yrs,79.7,8.287,8.287,8.954,8.954,12.485,12.485,13.655,13.655
1950,Boy 2 - 5 yrs,79.8,8.302,8.302,8.97,8.97,12.507,12.507,13.679,13.679
1951,Boy 2 - 5 yrs,79.9,8.317,8.317,8.986,8.986,12.529,12.529,13.703,13.703
1952,Boy 2 - 5 yrs,80,8.332,8.332,9.002,9.002,12.551,12.551,13.726,13.726
1953,Boy 2 - 5 yrs,80.1,8.348,8.348,9.019,9.019,12.573,12.573,13.75,13.75
1954,Boy 2 - 5 yrs,80.2,8.363,8.363,9.035,9.035,12.595,12.595,13.774,13.774
1955,Boy 2 - 5 yrs,80.3,8.379,8.379,9.052,9.052,12.617,12.617,13.798,13.798
1956,Boy 2 - 5 yrs,80.4,8.394,8.394,9.069,9.069,12.64,12.64,13.822,13.822
1957,Boy 2 - 5 yrs,80.5,8.41,8.41,9.085,9.085,12.662,12.662,13.847,13.847
1958,Boy 2 - 5 yrs,80.6,8.425,8.425,9.102,9.102,12.685,12.685,13.871,13.871
1959,Boy 2 - 5 yrs,80.7,8.441,8.441,9.119,9.119,12.707,12.707,13.895,13.895
1960,Boy 2 - 5 yrs,80.8,8.457,8.457,9.136,9.136,12.73,12.73,13.92,13.92
1961,Boy 2 - 5 yrs,80.9,8.473,8.473,9.153,9.153,12.753,12.753,13.945,13.945
1962,Boy 2 - 5 yrs,81,8.489,8.489,9.171,9.171,12.776,12.776,13.969,13.969
1963,Boy 2 - 5 yrs,81.1,8.506,8.506,9.188,9.188,12.799,12.799,13.994,13.994
1964,Boy 2 - 5 yrs,81.2,8.522,8.522,9.205,9.205,12.822,12.822,14.019,14.019
1965,Boy 2 - 5 yrs,81.3,8.538,8.538,9.223,9.223,12.845,12.845,14.044,14.044
1966,Boy 2 - 5 yrs,81.4,8.555,8.555,9.241,9.241,12.869,12.869,14.069,14.069
1967,Boy 2 - 5 yrs,81.5,8.572,8.572,9.258,9.258,12.892,12.892,14.095,14.095
1968,Boy 2 - 5 yrs,81.6,8.589,8.589,9.277,9.277,12.916,12.916,14.12,14.12
1969,Boy 2 - 5 yrs,81.7,8.606,8.606,9.295,9.295,12.94,12.94,14.146,14.146
1970,Boy 2 - 5 yrs,81.8,8.623,8.623,9.313,9.313,12.964,12.964,14.172,14.172
1971,Boy 2 - 5 yrs,81.9,8.64,8.64,9.331,9.331,12.988,12.988,14.198,14.198
1972,Boy 2 - 5 yrs,82,8.657,8.657,9.35,9.35,13.013,13.013,14.224,14.224
