,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1506,Boy 0-2 Yrs,79.3,8.125,8.125,8.78,8.78,12.248,12.248,13.398,13.398
1507,Boy 0-2 Yrs,79.4,8.14,8.14,8.795,8.795,12.269,12.269,13.421,13.421
1508,Boy 0-2 Yrs,79.5,8.154,8.154,8.811,8.811,12.291,12.291,13.445,13.445
1509,Boy 0-2 Yrs,79.6,8.169,8.169,8.826,8.826,12.313,12.313,13.468,13.468
1510,Boy 0-2 Yrs,79.7,8.183,8.183,8.842,8.842,12.334,12.334,13.491,13.491
1511,Boy 0-2 Yrs,79.8,8.198,8.198,8.858,8.858,12.355,12.355,13.514,13.514
1512,Boy 0-2 Yrs,79.9,8.213,8.213,8.874,8.874,12.377,12.377,13.538,13.538
1513,Boy 0-2 Yrs,80,8.227,8.227,8.89,8.89,12.399,12.399,13.561,13.561
1514,Boy 0-2 Yrs,80.1,8.242,8.242,8.906,8.906,12.42,12.42,13.585,13.585
1515,Boy 0-2 Yrs,80.2,8.257,8.257,8.922,8.922,12.442,12.442,13.608,13.608
1516,Boy 0-2 Yrs,80.3,8.272,8.272,8.938,8.938,12.464,12.464,13.632,13.632
1517,Boy 0-2 Yrs,80.4,8.287,8.287,8.954,8.954,12.485,12.485,13.655,13.655
1518,Boy 0-2 Yrs,80.5,8.302,8.302,8.97,8.97,12.507,12.507,13.679,13.679
1519,Boy 0-2 Yrs,80.6,8.317,8.317,8.986,8.986,12.529,12.529,13.703,13.703
1520,Boy 0-2 Yrs,80.7,8.332,8.332,9.002,9.002,12.551,12.551,13.726,13.726
1521,Boy 0-2 Yrs,80.9,8.363,8.363,9.035,9.035,12.595,12.595,13.774,13.774
1522,Boy 0-2 Yrs,81,8.379,8.379,9.052,9.052,12.617,12.617,13.798,13.798
1523,Boy 0-2 Yrs,81.1,8.394,8.394,9.069,9.069,12.64,12.64,13.822,13.822
1524,Boy 0-2 Yrs,81.2,8.41,8.41,9.085,9.085,12.662,12.662,13.847,13.847
1525,Boy 0-2 Yrs,81.3,8.425,8.425,9.102,9.102,12.685,12.685,13.871,13.871
1526,Boy 0-2 Yrs,81.4,8.441,8.441,9.119,9.119,12.707,12.707,13.895,13.895
1527,Boy 0-2 Yrs,81.5,8.457,8.457,9.136,9.136,12.73,12.73,13.92,13.92
1528,Boy 0-2 Yrs,81.6,8.473,8.473,9.153,9.153,12.753,12.753,13.945,13.945
1529,Boy 0-2 Yrs,81.7,8.489,8.489,9.171,9.171,12.776,12.776,13.969,13.969
1530,Boy 0-2 Yrs,81.8,8.506,8.506,9.188,9.188,12.799,12.799,13.994,13.994
1531,Boy 0-2 Yrs,81.9,8.522,8.522,9.205,9.205,12.822,12.822,14.019,14.019
1532,Boy 0-2 Yrs,82,8.538,8.538,9.223,9.223,12.845,12.845,14.044,14.044
1533,Boy 0-2 Yrs,82.1,8.555,8.555,9.241,9.241,12.869,12.869,14.069,14.069
1534,Boy 0-2 Yrs,82.2,8.572,8.572,9.258,9.258,12.892,12.892,14.095,14.095
1535,Boy 0-2 Yrs,82.3,8.589,8.589,9.277,9.277,12.916,12.916,14.12,14.12
1536,Boy 0-2 Yrs,82.4,8.606,8.606,9.295,9.295,12.94,12.94,14.146,14.146
1537,Boy 0-2 Yrs,82.5,8.623,8.623,9.313,9.313,12.964,12.964,14.172,14.172
1538,Boy 0-2 Yrs,82.6,8.64,8.64,9.331,9.331,12.988,12.988,14.198,14.198
1539,Boy 0-2 Yrs,82.7,8.657,8.657,9.35,9.35,13.013,13.013,14.224,14.224
1540,Boy 0-2 Yrs,82.8,8.675,8.675,9.368,9.368,13.037,13.037,14.25,14.25
1541,Boy 0-2 Yrs,82.9,8.692,8.692,9.387,9.387,13.061,13.061,14.277,14.277
1542,Boy 0-2 Yrs,83,8.71,8.71,9.406,9.406,13.086,13.086,14.303,14.303
1543,Boy 0-2 Yrs,83.1,8.728,8.728,9.425,9.425,13.111,13.111,14.33,14.33
1544,Boy 0-2 Yrs,83.2,8.746,8.746,9.444,9.444,13.137,13.137,14.357,14.357
1545,Boy 0-2 Yrs,83.3,8.764,8.764,9.463,9.463,13.162,13.162,14.384,14.384
1546,Boy 0-2 Yrs,83.4,8.782,8.782,9.483,9.483,13.187,13.187,14.412,14.412
1547,Boy 0-2 Yrs,83.5,8.8,8.8,9.503,9.503,13.213,13.213,14.439,14.439
1548,Boy 0-2 Yrs,83.6,8.819,8.819,9.522,9.522,13.238,13.238,14.466,14.466
1549,Boy 0-2 Yrs,83.7,8.837,8.837,9.542,9.542,13.264,13.264,14.494,14.494
1550,Boy 0-2 Yrs,83.8,8.856,8.856,9.562,9.562,13.29,13.29,14.522,14.522
1551,Boy 0-2 Yrs,83.9,8.875,8.875,9.582,9.582,13.316,13.316,14.55,14.55
1552,Boy 0-2 Yrs,84,8.894,8.894,9.602,9.602,13.342,13.342,14.578,14.578
1553,Boy 0-2 Yrs,84.1,8.913,8.913,9.622,9.622,13.369,13.369,14.606,14.606
1554,Boy 0-2 Yrs,84.2,8.932,8.932,9.643,9.643,13.396,13.396,14.635,14.635
1555,Boy 0-2 Yrs,84.3,8.951,8.951,9.663,9.663,13.422,13.422,14.663,14.663
1556,Boy 0-2 Yrs,84.4,8.971,8.971,9.684,9.684,13.449,13.449,14.692,14.692
1557,Boy 0-2 Yrs,84.5,8.99,8.99,9.705,9.705,13.476,13.476,14.721,14.721
1558,Boy 0-2 Yrs,84.6,9.01,9.01,9.725,9.725,13.503,13.503,14.75,14.75
1559,Boy 0-2 Yrs,84.8,9.049,9.049,9.767,9.767,13.557,13.557,14.808,14.808
1560,Boy 0-2 Yrs,84.9,9.069,9.069,9.788,9.788,13.584,13.584,14.837,14.837
1561,Boy 0-2 Yrs,85,9.088,9.088,9.809,9.809,13.612,13.612,14.866,14.866
1562,Boy 0-2 Yrs,85.1,9.109,9.109,9.831,9.831,13.639,13.639,14.895,14.895
1563,Boy 0-2 Yrs,85.2,9.128,9.128,9.852,9.852,13.667,13.667,14.925,14.925
1564,Boy 0-2 Yrs,85.3,9.149,9.149,9.873,9.873,13.694,13.694,14.955,14.955
1565,Boy 0-2 Yrs,85.4,9.169,9.169,9.895,9.895,13.722,13.722,14.984,14.984
1566,Boy 0-2 Yrs,85.5,9.189,9.189,9.916,9.916,13.75,13.75,15.014,15.014
1567,Boy 0-2 Yrs,85.6,9.209,9.209,9.938,9.938,13.777,13.777,15.043,15.043
1568,Boy 0-2 Yrs,85.7,9.229,9.229,9.959,9.959,13.806,13.806,15.074,15.074
1569,Boy 0-2 Yrs,85.8,9.25,9.25,9.981,9.981,13.833,13.833,15.103,15.103
1570,Boy 0-2 Yrs,85.9,9.27,9.27,10.002,10.002,13.861,13.861,15.133,15.133
1571,Boy 0-2 Yrs,86,9.29,9.29,10.024,10.024,13.89,13.89,15.163,15.163
1572,Boy 0-2 Yrs,86.1,9.311,9.311,10.046,10.046,13.917,13.917,15.193,15.193
1573,Boy 0-2 Yrs,86.2,9.331,9.331,10.067,10.067,13.946,13.946,15.224,15.224
1574,Boy 0-2 Yrs,86.3,9.352,9.352,10.089,10.089,13.974,13.974,15.253,15.253
1575,Boy 0-2 Yrs,86.4,9.372,9.372,10.111,10.111,14.002,14.002,15.284,15.284
1576,Boy 0-2 Yrs,86.5,9.392,9.392,10.133,10.133,14.03,14.03,15.314,15.314
1577,Boy 0-2 Yrs,86.6,9.413,9.413,10.154,10.154,14.059,14.059,15.344,15.344
1578,Boy 0-2 Yrs,86.7,9.433,9.433,10.176,10.176,14.087,14.087,15.374,15.374
1579,Boy 0-2 Yrs,86.8,9.454,9.454,10.198,10.198,14.115,14.115,15.405,15.405
1580,Boy 0-2 Yrs,86.9,9.474,9.474,10.22,10.22,14.143,14.143,15.435,15.435
1581,Boy 0-2 Yrs,87,9.495,9.495,10.242,10.242,14.172,14.172,15.465,15.465
1582,Boy 0-2 Yrs,87.1,9.515,9.515,10.263,10.263,14.2,14.2,15.496,15.496
1583,Boy 0-2 Yrs,87.2,9.536,9.536,10.285,10.285,14.228,14.228,15.526,15.526
1584,Boy 0-2 Yrs,87.3,9.556,9.556,10.307,10.307,14.257,14.257,15.556,15.556
1585,Boy 0-2 Yrs,87.4,9.576,9.576,10.328,10.328,14.285,14.285,15.587,15.587
1586,Boy 0-2 Yrs,87.5,9.597,9.597,10.35,10.35,14.313,14.313,15.617,15.617
1587,Boy 0-2 Yrs,87.6,9.617,9.617,10.372,10.372,14.341,14.341,15.647,15.647
1588,Boy 0-2 Yrs,87.7,9.637,9.637,10.393,10.393,14.37,14.37,15.677,15.677
1589,Boy 0-2 Yrs,87.8,9.658,9.658,10.415,10.415,14.398,14.398,15.708,15.708
1590,Boy 0-2 Yrs,87.9,9.678,9.678,10.436,10.436,14.426,14.426,15.738,15.738
1591,Boy 0-2 Yrs,88,9.698,9.698,10.458,10.458,14.454,14.454,15.768,15.768
1592,Boy 0-2 Yrs,88.1,9.718,9.718,10.479,10.479,14.482,14.482,15.798,15.798
1593,Boy 0-2 Yrs,88.2,9.738,9.738,10.501,10.501,14.51,14.51,15.828,15.828
1594,Boy 0-2 Yrs,88.3,9.758,9.758,10.522,10.522,14.538,14.538,15.859,15.859
1595,Boy 0-2 Yrs,88.4,9.778,9.778,10.544,10.544,14.566,14.566,15.889,15.889
1596,Boy 0-2 Yrs,88.5,9.798,9.798,10.565,10.565,14.594,14.594,15.919,15.919
1597,Boy 0-2 Yrs,88.7,9.838,9.838,10.607,10.607,14.65,14.65,15.979,15.979
1598,Boy 0-2 Yrs,88.8,9.858,9.858,10.629,10.629,14.678,14.678,16.009,16.009
1599,Boy 0-2 Yrs,88.9,9.877,9.877,10.65,10.65,14.706,14.706,16.039,16.039
1600,Boy 0-2 Yrs,89,9.897,9.897,10.671,10.671,14.734,14.734,16.069,16.069
1601,Boy 0-2 Yrs,89.1,9.917,9.917,10.692,10.692,14.762,14.762,16.099,16.099
1602,Boy 0-2 Yrs,89.2,9.937,9.937,10.713,10.713,14.79,14.79,16.129,16.129
1603,Boy 0-2 Yrs,89.3,9.956,9.956,10.734,10.734,14.818,14.818,16.159,16.159
1604,Boy 0-2 Yrs,89.4,9.976,9.976,10.755,10.755,14.845,14.845,16.189,16.189
1605,Boy 0-2 Yrs,89.5,9.995,9.995,10.775,10.775,14.873,14.873,16.219,16.219
1606,Boy 0-2 Yrs,89.6,10.015,10.015,10.796,10.796,14.901,14.901,16.249,16.249
1607,Boy 0-2 Yrs,89.7,10.034,10.034,10.817,10.817,14.928,14.928,16.278,16.278
1608,Boy 0-2 Yrs,89.8,10.053,10.053,10.838,10.838,14.956,14.956,16.309,16.309
1609,Boy 0-2 Yrs,89.9,10.073,10.073,10.858,10.858,14.984,14.984,16.338,16.338
1610,Boy 0-2 Yrs,90,10.092,10.092,10.879,10.879,15.011,15.011,16.368,16.368
1611,Boy 0-2 Yrs,90.1,10.111,10.111,10.899,10.899,15.039,15.039,16.398,16.398
1612,Boy 0-2 Yrs,90.2,10.13,10.13,10.92,10.92,15.066,15.066,16.428,16.428
1613,Boy 0-2 Yrs,90.3,10.149,10.149,10.94,10.94,15.094,15.094,16.458,16.458
1614,Boy 0-2 Yrs,90.4,10.169,10.169,10.961,10.961,15.121,15.121,16.487,16.487
1615,Boy 0-2 Yrs,90.5,10.188,10.188,10.981,10.981,15.149,15.149,16.517,16.517
1616,Boy 0-2 Yrs,90.6,10.207,10.207,11.002,11.002,15.176,15.176,16.546,16.546
1617,Boy 0-2 Yrs,90.7,10.226,10.226,11.022,11.022,15.204,15.204,16.576,16.576
1618,Boy 0-2 Yrs,90.8,10.244,10.244,11.043,11.043,15.231,15.231,16.606,16.606
1619,Boy 0-2 Yrs,90.9,10.263,10.263,11.063,11.063,15.258,15.258,16.636,16.636
1620,Boy 0-2 Yrs,91,10.282,10.282,11.083,11.083,15.286,15.286,16.666,16.666
1621,Boy 0-2 Yrs,91.1,10.301,10.301,11.103,11.103,15.314,15.314,16.696,16.696
1622,Boy 0-2 Yrs,91.2,10.32,10.32,11.123,11.123,15.341,15.341,16.725,16.725
1623,Boy 0-2 Yrs,91.3,10.339,10.339,11.144,11.144,15.368,15.368,16.755,16.755
1624,Boy 0-2 Yrs,91.4,10.357,10.357,11.164,11.164,15.396,15.396,16.785,16.785
