,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
700,Girl 2 - 5 yrs,71.7,6.681,6.681,7.261,7.261,10.429,10.429,11.514,11.514
701,Girl 2 - 5 yrs,71.8,6.697,6.697,7.278,7.278,10.453,10.453,11.54,11.54
702,Girl 2 - 5 yrs,71.9,6.712,6.712,7.294,7.294,10.477,10.477,11.566,11.566
703,Girl 2 - 5 yrs,72,6.728,6.728,7.311,7.311,10.5,10.5,11.592,11.592
704,Girl 2 - 5 yrs,72.1,6.743,6.743,7.328,7.328,10.524,10.524,11.618,11.618
705,Girl 2 - 5 yrs,72.2,6.759,6.759,7.345,7.345,10.547,10.547,11.643,11.643
706,Girl 2 - 5 yrs,72.3,6.774,6.774,7.361,7.361,10.571,10.571,11.669,11.669
707,Girl 2 - 5 yrs,72.4,6.79,6.79,7.378,7.378,10.594,10.594,11.695,11.695
708,Girl 2 - 5 yrs,72.5,6.805,6.805,7.395,7.395,10.617,10.617,11.72,11.72
709,Girl 2 - 5 yrs,72.6,6.82,6.82,7.411,7.411,10.64,10.64,11.746,11.746
710,Girl 2 - 5 yrs,72.7,6.836,6.836,7.428,7.428,10.664,10.664,11.771,11.771
711,Girl 2 - 5 yrs,72.8,6.851,6.851,7.444,7.444,10.687,10.687,11.797,11.797
712,Girl 2 - 5 yrs,72.9,6.866,6.866,7.461,7.461,10.71,10.71,11.822,11.822
713,Girl 2 - 5 yrs,73,6.881,6.881,7.477,7.477,10.733,10.733,11.847,11.847
714,Girl 2 - 5 yrs,73.1,6.896,6.896,7.493,7.493,10.756,10.756,11.872,11.872
715,Girl 2 - 5 yrs,73.2,6.911,6.911,7.51,7.51,10.779,10.779,11.898,11.898
716,Girl 2 - 5 yrs,73.3,6.927,6.927,7.526,7.526,10.801,10.801,11.922,11.922
717,Girl 2 - 5 yrs,73.4,6.942,6.942,7.542,7.542,10.824,10.824,11.947,11.947
718,Girl 2 - 5 yrs,73.5,6.957,6.957,7.559,7.559,10.847,10.847,11.972,11.972
719,Girl 2 - 5 yrs,73.6,6.972,6.972,7.575,7.575,10.869,10.869,11.997,11.997
720,Girl 2 - 5 yrs,73.7,6.986,6.986,7.591,7.591,10.892,10.892,12.022,12.022
721,Girl 2 - 5 yrs,73.8,7.001,7.001,7.607,7.607,10.915,10.915,12.046,12.046
722,Girl 2 - 5 yrs,73.9,7.016,7.016,7.623,7.623,10.937,10.937,12.071,12.071
723,Girl 2 - 5 yrs,74,7.031,7.031,7.639,7.639,10.959,10.959,12.095,12.095
724,Girl 2 - 5 yrs,74.1,7.046,7.046,7.655,7.655,10.982,10.982,12.12,12.12
725,Girl 2 - 5 yrs,74.2,7.06,7.06,7.671,7.671,11.004,11.004,12.144,12.144
726,Girl 2 - 5 yrs,74.3,7.075,7.075,7.687,7.687,11.026,11.026,12.168,12.168
727,Girl 2 - 5 yrs,74.4,7.09,7.09,7.702,7.702,11.048,11.048,12.193,12.193
728,Girl 2 - 5 yrs,74.5,7.104,7.104,7.718,7.718,11.07,11.07,12.217,12.217
729,Girl 2 - 5 yrs,74.6,7.119,7.119,7.734,7.734,11.092,11.092,12.241,12.241
730,Girl 2 - 5 yrs,74.7,7.134,7.134,7.75,7.75,11.114,11.114,12.265,12.265
731,Girl 2 - 5 yrs,74.9,7.163,7.163,7.781,7.781,11.158,11.158,12.313,12.313
732,Girl 2 - 5 yrs,75,7.177,7.177,7.797,7.797,11.18,11.18,12.337,12.337
733,Girl 2 - 5 yrs,75.1,7.192,7.192,7.812,7.812,11.202,11.202,12.361,12.361
734,Girl 2 - 5 yrs,75.2,7.206,7.206,7.828,7.828,11.224,11.224,12.385,12.385
735,Girl 2 - 5 yrs,75.3,7.221,7.221,7.844,7.844,11.246,11.246,12.408,12.408
736,Girl 2 - 5 yrs,75.4,7.235,7.235,7.859,7.859,11.267,11.267,12.432,12.432
737,Girl 2 - 5 yrs,75.5,7.249,7.249,7.875,7.875,11.289,11.289,12.456,12.456
738,Girl 2 - 5 yrs,75.6,7.264,7.264,7.89,7.89,11.311,11.311,12.48,12.48
739,Girl 2 - 5 yrs,75.7,7.278,7.278,7.906,7.906,11.333,11.333,12.504,12.504
740,Girl 2 - 5 yrs,75.8,7.293,7.293,7.922,7.922,11.354,11.354,12.527,12.527
741,Girl 2 - 5 yrs,75.9,7.307,7.307,7.937,7.937,11.376,11.376,12.551,12.551
742,Girl 2 - 5 yrs,76,7.321,7.321,7.953,7.953,11.398,11.398,12.575,12.575
743,Girl 2 - 5 yrs,76.1,7.336,7.336,7.968,7.968,11.419,11.419,12.598,12.598
744,Girl 2 - 5 yrs,76.2,7.35,7.35,7.984,7.984,11.441,11.441,12.622,12.622
745,Girl 2 - 5 yrs,76.3,7.365,7.365,7.999,7.999,11.463,11.463,12.646,12.646
746,Girl 2 - 5 yrs,76.4,7.379,7.379,8.015,8.015,11.484,11.484,12.67,12.67
747,Girl 2 - 5 yrs,76.5,7.394,7.394,8.031,8.031,11.506,11.506,12.694,12.694
748,Girl 2 - 5 yrs,76.6,7.408,7.408,8.046,8.046,11.528,11.528,12.718,12.718
749,Girl 2 - 5 yrs,76.7,7.423,7.423,8.062,8.062,11.55,11.55,12.741,12.741
750,Girl 2 - 5 yrs,76.8,7.437,7.437,8.078,8.078,11.572,11.572,12.765,12.765
751,Girl 2 - 5 yrs,76.9,7.452,7.452,8.094,8.094,11.594,11.594,12.79,12.79
752,Girl 2 - 5 yrs,77,7.466,7.466,8.109,8.109,11.616,11.616,12.813,12.813
753,Girl 2 - 5 yrs,77.1,7.481,7.481,8.125,8.125,11.638,11.638,12.838,12.838
754,Girl 2 - 5 yrs,77.2,7.496,7.496,8.141,8.141,11.66,11.66,12.861,12.861
755,Girl 2 - 5 yrs,77.3,7.511,7.511,8.157,8.157,11.682,11.682,12.886,12.886
756,Girl 2 - 5 yrs,77.4,7.525,7.525,8.173,8.173,11.704,11.704,12.91,12.91
757,Girl 2 - 5 yrs,77.5,7.54,7.54,8.189,8.189,11.727,11.727,12.935,12.935
758,Girl 2 - 5 yrs,77.6,7.555,7.555,8.205,8.205,11.749,11.749,12.959,12.959
759,Girl 2 - 5 yrs,77.7,7.57,7.57,8.221,8.221,11.771,11.771,12.984,12.984
760,Girl 2 - 5 yrs,77.8,7.585,7.585,8.237,8.237,11.794,11.794,13.008,13.008
761,Girl 2 - 5 yrs,77.9,7.6,7.6,8.253,8.253,11.816,11.816,13.033,13.033
762,Girl 2 - 5 yrs,78,7.615,7.615,8.27,8.27,11.839,11.839,13.058,13.058
763,Girl 2 - 5 yrs,78.1,7.63,7.63,8.286,8.286,11.862,11.862,13.083,13.083
764,Girl 2 - 5 yrs,78.2,7.645,7.645,8.302,8.302,11.884,11.884,13.107,13.107
765,Girl 2 - 5 yrs,78.3,7.66,7.66,8.319,8.319,11.907,11.907,13.132,13.132
766,Girl 2 - 5 yrs,78.4,7.676,7.676,8.335,8.335,11.93,11.93,13.158,13.158
767,Girl 2 - 5 yrs,78.5,7.691,7.691,8.352,8.352,11.954,11.954,13.183,13.183
768,Girl 2 - 5 yrs,78.6,7.706,7.706,8.368,8.368,11.977,11.977,13.208,13.208
769,Girl 2 - 5 yrs,78.8,7.737,7.737,8.402,8.402,12.023,12.023,13.26,13.26
770,Girl 2 - 5 yrs,78.9,7.753,7.753,8.419,8.419,12.047,12.047,13.285,13.285
771,Girl 2 - 5 yrs,79,7.769,7.769,8.436,8.436,12.07,12.07,13.311,13.311
772,Girl 2 - 5 yrs,79.1,7.784,7.784,8.453,8.453,12.094,12.094,13.337,13.337
773,Girl 2 - 5 yrs,79.2,7.8,7.8,8.47,8.47,12.118,12.118,13.363,13.363
774,Girl 2 - 5 yrs,79.3,7.816,7.816,8.487,8.487,12.142,12.142,13.389,13.389
775,Girl 2 - 5 yrs,79.4,7.832,7.832,8.504,8.504,12.166,12.166,13.416,13.416
776,Girl 2 - 5 yrs,79.5,7.848,7.848,8.522,8.522,12.19,12.19,13.442,13.442
777,Girl 2 - 5 yrs,79.6,7.864,7.864,8.539,8.539,12.215,12.215,13.469,13.469
778,Girl 2 - 5 yrs,79.7,7.88,7.88,8.556,8.556,12.239,12.239,13.496,13.496
779,Girl 2 - 5 yrs,79.8,7.897,7.897,8.574,8.574,12.264,12.264,13.523,13.523
780,Girl 2 - 5 yrs,79.9,7.913,7.913,8.592,8.592,12.289,12.289,13.55,13.55
781,Girl 2 - 5 yrs,80,7.929,7.929,8.609,8.609,12.313,12.313,13.577,13.577
782,Girl 2 - 5 yrs,80.1,7.946,7.946,8.627,8.627,12.338,12.338,13.604,13.604
783,Girl 2 - 5 yrs,80.2,7.963,7.963,8.645,8.645,12.363,12.363,13.632,13.632
784,Girl 2 - 5 yrs,80.3,7.979,7.979,8.663,8.663,12.388,12.388,13.659,13.659
785,Girl 2 - 5 yrs,80.4,7.996,7.996,8.681,8.681,12.414,12.414,13.687,13.687
786,Girl 2 - 5 yrs,80.5,8.013,8.013,8.7,8.7,12.439,12.439,13.715,13.715
787,Girl 2 - 5 yrs,80.6,8.03,8.03,8.718,8.718,12.465,12.465,13.743,13.743
788,Girl 2 - 5 yrs,80.7,8.047,8.047,8.736,8.736,12.491,12.491,13.771,13.771
789,Girl 2 - 5 yrs,80.8,8.064,8.064,8.755,8.755,12.517,12.517,13.8,13.8
790,Girl 2 - 5 yrs,80.9,8.081,8.081,8.773,8.773,12.542,12.542,13.828,13.828
791,Girl 2 - 5 yrs,81,8.098,8.098,8.792,8.792,12.569,12.569,13.857,13.857
792,Girl 2 - 5 yrs,81.1,8.115,8.115,8.81,8.81,12.595,12.595,13.885,13.885
793,Girl 2 - 5 yrs,81.2,8.133,8.133,8.829,8.829,12.621,12.621,13.914,13.914
794,Girl 2 - 5 yrs,81.3,8.15,8.15,8.848,8.848,12.647,12.647,13.943,13.943
795,Girl 2 - 5 yrs,81.4,8.167,8.167,8.867,8.867,12.674,12.674,13.972,13.972
796,Girl 2 - 5 yrs,81.5,8.185,8.185,8.886,8.886,12.701,12.701,14.001,14.001
797,Girl 2 - 5 yrs,81.6,8.203,8.203,8.905,8.905,12.727,12.727,14.031,14.031
798,Girl 2 - 5 yrs,81.7,8.22,8.22,8.924,8.924,12.755,12.755,14.061,14.061
799,Girl 2 - 5 yrs,81.8,8.238,8.238,8.943,8.943,12.781,12.781,14.09,14.09
800,Girl 2 - 5 yrs,81.9,8.256,8.256,8.962,8.962,12.809,12.809,14.12,14.12
801,Girl 2 - 5 yrs,82,8.274,8.274,8.982,8.982,12.836,12.836,14.15,14.15
802,Girl 2 - 5 yrs,82.1,8.292,8.292,9.001,9.001,12.863,12.863,14.18,14.18
803,Girl 2 - 5 yrs,82.2,8.31,8.31,9.021,9.021,12.89,12.89,14.21,14.21
804,Girl 2 - 5 yrs,82.3,8.328,8.328,9.04,9.04,12.918,12.918,14.24,14.24
805,Girl 2 - 5 yrs,82.4,8.346,8.346,9.06,9.06,12.946,12.946,14.27,14.27
806,Girl 2 - 5 yrs,82.5,8.364,8.364,9.08,9.08,12.974,12.974,14.301,14.301
807,Girl 2 - 5 yrs,82.7,8.401,8.401,9.119,9.119,13.03,13.03,14.363,14.363
808,Girl 2 - 5 yrs,82.8,8.419,8.419,9.139,9.139,13.058,13.058,14.393,14.393
809,Girl 2 - 5 yrs,82.9,8.438,8.438,9.159,9.159,13.086,13.086,14.424,14.424
810,Girl 2 - 5 yrs,83,8.456,8.456,9.179,9.179,13.114,13.114,14.455,14.455
811,Girl 2 - 5 yrs,83.1,8.475,8.475,9.199,9.199,13.143,13.143,14.486,14.486
812,Girl 2 - 5 yrs,83.2,8.493,8.493,9.22,9.22,13.171,13.171,14.518,14.518
813,Girl 2 - 5 yrs,83.3,8.512,8.512,9.24,9.24,13.2,13.2,14.549,14.549
814,Girl 2 - 5 yrs,83.4,8.531,8.531,9.26,9.26,13.228,13.228,14.581,14.581
815,Girl 2 - 5 yrs,83.5,8.55,8.55,9.281,9.281,13.257,13.257,14.613,14.613
816,Girl 2 - 5 yrs,83.6,8.569,8.569,9.301,9.301,13.286,13.286,14.644,14.644
817,Girl 2 - 5 yrs,83.7,8.587,8.587,9.321,9.321,13.315,13.315,14.676,14.676
818,Girl 2 - 5 yrs,83.8,8.606,8.606,9.342,9.342,13.344,13.344,14.708,14.708
819,Girl 2 - 5 yrs,83.9,8.625,8.625,9.363,9.363,13.373,13.373,14.74,14.74
820,Girl 2 - 5 yrs,84,8.644,8.644,9.383,9.383,13.402,13.402,14.772,14.772
821,Girl 2 - 5 yrs,84.1,8.663,8.663,9.404,9.404,13.432,13.432,14.805,14.805
822,Girl 2 - 5 yrs,84.2,8.682,8.682,9.425,9.425,13.461,13.461,14.837,14.837
823,Girl 2 - 5 yrs,84.3,8.702,8.702,9.445,9.445,13.491,13.491,14.869,14.869
824,Girl 2 - 5 yrs,84.4,8.721,8.721,9.466,9.466,13.52,13.52,14.902,14.902
825,Girl 2 - 5 yrs,84.5,8.74,8.74,9.487,9.487,13.55,13.55,14.934,14.934
826,Girl 2 - 5 yrs,84.6,8.76,8.76,9.508,9.508,13.58,13.58,14.967,14.967
827,Girl 2 - 5 yrs,84.7,8.779,8.779,9.529,9.529,13.609,13.609,15,15
828,Girl 2 - 5 yrs,84.8,8.798,8.798,9.55,9.55,13.639,13.639,15.033,15.033
829,Girl 2 - 5 yrs,84.9,8.818,8.818,9.571,9.571,13.669,13.669,15.065,15.065
830,Girl 2 - 5 yrs,85,8.837,8.837,9.592,9.592,13.699,13.699,15.098,15.098
831,Girl 2 - 5 yrs,85.1,8.856,8.856,9.613,9.613,13.729,13.729,15.131,15.131
832,Girl 2 - 5 yrs,85.2,8.876,8.876,9.634,9.634,13.759,13.759,15.164,15.164
833,Girl 2 - 5 yrs,85.3,8.895,8.895,9.655,9.655,13.789,13.789,15.197,15.197
834,Girl 2 - 5 yrs,85.4,8.915,8.915,9.676,9.676,13.819,13.819,15.23,15.23
835,Girl 2 - 5 yrs,85.5,8.934,8.934,9.697,9.697,13.849,13.849,15.264,15.264
836,Girl 2 - 5 yrs,85.6,8.954,8.954,9.719,9.719,13.879,13.879,15.297,15.297
837,Girl 2 - 5 yrs,85.7,8.973,8.973,9.74,9.74,13.91,13.91,15.33,15.33
838,Girl 2 - 5 yrs,85.8,8.993,8.993,9.761,9.761,13.94,13.94,15.363,15.363
839,Girl 2 - 5 yrs,85.9,9.012,9.012,9.782,9.782,13.97,13.97,15.397,15.397
840,Girl 2 - 5 yrs,86,9.032,9.032,9.803,9.803,14,14,15.43,15.43
841,Girl 2 - 5 yrs,86.1,9.051,9.051,9.825,9.825,14.031,14.031,15.464,15.464
842,Girl 2 - 5 yrs,86.2,9.071,9.071,9.846,9.846,14.061,14.061,15.497,15.497
843,Girl 2 - 5 yrs,86.3,9.091,9.091,9.867,9.867,14.091,14.091,15.531,15.531
844,Girl 2 - 5 yrs,86.4,9.11,9.11,9.888,9.888,14.122,14.122,15.564,15.564
845,Girl 2 - 5 yrs,86.6,9.149,9.149,9.931,9.931,14.182,14.182,15.631,15.631
846,Girl 2 - 5 yrs,86.7,9.169,9.169,9.952,9.952,14.213,14.213,15.664,15.664
847,Girl 2 - 5 yrs,86.8,9.188,9.188,9.973,9.973,14.243,14.243,15.698,15.698
848,Girl 2 - 5 yrs,86.9,9.208,9.208,9.994,9.994,14.273,14.273,15.731,15.731
849,Girl 2 - 5 yrs,87,9.227,9.227,10.015,10.015,14.304,14.304,15.765,15.765
850,Girl 2 - 5 yrs,87.1,9.247,9.247,10.037,10.037,14.334,14.334,15.798,15.798
851,Girl 2 - 5 yrs,87.2,9.266,9.266,10.058,10.058,14.364,14.364,15.832,15.832
852,Girl 2 - 5 yrs,87.3,9.286,9.286,10.079,10.079,14.395,14.395,15.865,15.865
853,Girl 2 - 5 yrs,87.4,9.305,9.305,10.1,10.1,14.425,14.425,15.899,15.899
854,Girl 2 - 5 yrs,87.5,9.324,9.324,10.121,10.121,14.455,14.455,15.932,15.932
855,Girl 2 - 5 yrs,87.6,9.344,9.344,10.142,10.142,14.485,14.485,15.965,15.965
856,Girl 2 - 5 yrs,87.7,9.363,9.363,10.163,10.163,14.516,14.516,15.999,15.999
857,Girl 2 - 5 yrs,87.8,9.383,9.383,10.184,10.184,14.546,14.546,16.032,16.032
858,Girl 2 - 5 yrs,87.9,9.402,9.402,10.205,10.205,14.576,14.576,16.066,16.066
859,Girl 2 - 5 yrs,88,9.421,9.421,10.226,10.226,14.607,14.607,16.099,16.099
860,Girl 2 - 5 yrs,88.1,9.441,9.441,10.247,10.247,14.637,14.637,16.133,16.133
861,Girl 2 - 5 yrs,88.2,9.46,9.46,10.268,10.268,14.667,14.667,16.166,16.166
862,Girl 2 - 5 yrs,88.3,9.479,9.479,10.289,10.289,14.697,14.697,16.2,16.2
863,Girl 2 - 5 yrs,88.4,9.498,9.498,10.31,10.31,14.728,14.728,16.233,16.233
864,Girl 2 - 5 yrs,88.5,9.518,9.518,10.331,10.331,14.758,14.758,16.266,16.266
865,Girl 2 - 5 yrs,88.6,9.537,9.537,10.352,10.352,14.788,14.788,16.3,16.3
866,Girl 2 - 5 yrs,88.7,9.556,9.556,10.373,10.373,14.818,14.818,16.333,16.333
867,Girl 2 - 5 yrs,88.8,9.575,9.575,10.394,10.394,14.848,14.848,16.367,16.367
868,Girl 2 - 5 yrs,88.9,9.595,9.595,10.415,10.415,14.879,14.879,16.4,16.4
869,Girl 2 - 5 yrs,89,9.614,9.614,10.436,10.436,14.909,14.909,16.433,16.433
870,Girl 2 - 5 yrs,89.1,9.633,9.633,10.457,10.457,14.939,14.939,16.466,16.466
871,Girl 2 - 5 yrs,89.2,9.652,9.652,10.477,10.477,14.969,14.969,16.5,16.5
872,Girl 2 - 5 yrs,89.3,9.671,9.671,10.498,10.498,14.999,14.999,16.533,16.533
873,Girl 2 - 5 yrs,89.4,9.69,9.69,10.519,10.519,15.029,15.029,16.566,16.566
874,Girl 2 - 5 yrs,89.5,9.709,9.709,10.54,10.54,15.059,15.059,16.6,16.6
875,Girl 2 - 5 yrs,89.6,9.728,9.728,10.561,10.561,15.09,15.09,16.633,16.633
876,Girl 2 - 5 yrs,89.7,9.747,9.747,10.581,10.581,15.12,15.12,16.667,16.667
877,Girl 2 - 5 yrs,89.8,9.767,9.767,10.602,10.602,15.15,15.15,16.7,16.7
878,Girl 2 - 5 yrs,89.9,9.786,9.786,10.623,10.623,15.18,15.18,16.733,16.733
879,Girl 2 - 5 yrs,90,9.805,9.805,10.644,10.644,15.21,15.21,16.767,16.767
880,Girl 2 - 5 yrs,90.1,9.824,9.824,10.664,10.664,15.24,15.24,16.8,16.8
881,Girl 2 - 5 yrs,90.2,9.843,9.843,10.685,10.685,15.27,15.27,16.833,16.833
882,Girl 2 - 5 yrs,90.3,9.862,9.862,10.706,10.706,15.3,15.3,16.866,16.866
883,Girl 2 - 5 yrs,90.5,9.9,9.9,10.747,10.747,15.36,15.36,16.933,16.933
884,Girl 2 - 5 yrs,90.6,9.918,9.918,10.768,10.768,15.39,15.39,16.967,16.967
885,Girl 2 - 5 yrs,90.7,9.937,9.937,10.788,10.788,15.421,15.421,17,17
886,Girl 2 - 5 yrs,90.8,9.956,9.956,10.809,10.809,15.451,15.451,17.033,17.033
887,Girl 2 - 5 yrs,90.9,9.975,9.975,10.83,10.83,15.481,15.481,17.067,17.067
888,Girl 2 - 5 yrs,91,9.994,9.994,10.85,10.85,15.511,15.511,17.1,17.1
889,Girl 2 - 5 yrs,91.1,10.013,10.013,10.871,10.871,15.541,15.541,17.134,17.134
890,Girl 2 - 5 yrs,91.2,10.032,10.032,10.892,10.892,15.571,15.571,17.167,17.167
891,Girl 2 - 5 yrs,91.3,10.051,10.051,10.912,10.912,15.601,15.601,17.2,17.2
892,Girl 2 - 5 yrs,91.4,10.07,10.07,10.933,10.933,15.631,15.631,17.234,17.234
893,Girl 2 - 5 yrs,91.5,10.089,10.089,10.953,10.953,15.662,15.662,17.267,17.267
894,Girl 2 - 5 yrs,91.6,10.108,10.108,10.974,10.974,15.692,15.692,17.301,17.301
895,Girl 2 - 5 yrs,91.7,10.127,10.127,10.995,10.995,15.722,15.722,17.334,17.334
896,Girl 2 - 5 yrs,91.8,10.146,10.146,11.015,11.015,15.752,15.752,17.368,17.368
897,Girl 2 - 5 yrs,91.9,10.164,10.164,11.036,11.036,15.782,15.782,17.402,17.402
898,Girl 2 - 5 yrs,92,10.183,10.183,11.056,11.056,15.813,15.813,17.435,17.435
899,Girl 2 - 5 yrs,92.1,10.202,10.202,11.077,11.077,15.843,15.843,17.469,17.469
900,Girl 2 - 5 yrs,92.2,10.221,10.221,11.098,11.098,15.873,15.873,17.502,17.502
901,Girl 2 - 5 yrs,92.3,10.24,10.24,11.118,11.118,15.903,15.903,17.535,17.535
902,Girl 2 - 5 yrs,92.4,10.258,10.258,11.139,11.139,15.934,15.934,17.569,17.569
903,Girl 2 - 5 yrs,92.5,10.277,10.277,11.159,11.159,15.964,15.964,17.603,17.603
904,Girl 2 - 5 yrs,92.6,10.296,10.296,11.18,11.18,15.994,15.994,17.636,17.636
905,Girl 2 - 5 yrs,92.7,10.315,10.315,11.201,11.201,16.025,16.025,17.671,17.671
906,Girl 2 - 5 yrs,92.8,10.334,10.334,11.221,11.221,16.055,16.055,17.704,17.704
907,Girl 2 - 5 yrs,92.9,10.353,10.353,11.242,11.242,16.085,16.085,17.738,17.738
908,Girl 2 - 5 yrs,93,10.372,10.372,11.262,11.262,16.116,16.116,17.772,17.772
909,Girl 2 - 5 yrs,93.1,10.391,10.391,11.283,11.283,16.146,16.146,17.806,17.806
910,Girl 2 - 5 yrs,93.2,10.409,10.409,11.304,11.304,16.177,16.177,17.84,17.84
911,Girl 2 - 5 yrs,93.3,10.428,10.428,11.324,11.324,16.207,16.207,17.873,17.873
912,Girl 2 - 5 yrs,93.4,10.447,10.447,11.345,11.345,16.237,16.237,17.907,17.907
913,Girl 2 - 5 yrs,93.5,10.466,10.466,11.366,11.366,16.268,16.268,17.942,17.942
914,Girl 2 - 5 yrs,93.6,10.485,10.485,11.386,11.386,16.298,16.298,17.975,17.975
915,Girl 2 - 5 yrs,93.7,10.504,10.504,11.407,11.407,16.329,16.329,18.01,18.01
916,Girl 2 - 5 yrs,93.8,10.523,10.523,11.428,11.428,16.36,16.36,18.044,18.044
917,Girl 2 - 5 yrs,93.9,10.542,10.542,11.448,11.448,16.39,16.39,18.078,18.078
918,Girl 2 - 5 yrs,94,10.561,10.561,11.469,11.469,16.421,16.421,18.112,18.112
919,Girl 2 - 5 yrs,94.1,10.58,10.58,11.49,11.49,16.452,16.452,18.146,18.146
920,Girl 2 - 5 yrs,94.2,10.599,10.599,11.511,11.511,16.483,16.483,18.181,18.181
921,Girl 2 - 5 yrs,94.4,10.637,10.637,11.552,11.552,16.545,16.545,18.25,18.25
922,Girl 2 - 5 yrs,94.5,10.656,10.656,11.573,11.573,16.576,16.576,18.284,18.284
923,Girl 2 - 5 yrs,94.6,10.675,10.675,11.594,11.594,16.606,16.606,18.318,18.318
924,Girl 2 - 5 yrs,94.7,10.694,10.694,11.615,11.615,16.637,16.637,18.353,18.353
925,Girl 2 - 5 yrs,94.8,10.713,10.713,11.636,11.636,16.669,16.669,18.388,18.388
926,Girl 2 - 5 yrs,94.9,10.732,10.732,11.657,11.657,16.7,16.7,18.423,18.423
927,Girl 2 - 5 yrs,95,10.751,10.751,11.678,11.678,16.731,16.731,18.457,18.457
928,Girl 2 - 5 yrs,95.1,10.77,10.77,11.699,11.699,16.762,16.762,18.492,18.492
929,Girl 2 - 5 yrs,95.2,10.789,10.789,11.719,11.719,16.793,16.793,18.527,18.527
930,Girl 2 - 5 yrs,95.3,10.809,10.809,11.74,11.74,16.825,16.825,18.562,18.562
931,Girl 2 - 5 yrs,95.4,10.828,10.828,11.761,11.761,16.856,16.856,18.597,18.597
932,Girl 2 - 5 yrs,95.5,10.847,10.847,11.783,11.783,16.887,16.887,18.632,18.632
933,Girl 2 - 5 yrs,95.6,10.866,10.866,11.804,11.804,16.919,16.919,18.667,18.667
934,Girl 2 - 5 yrs,95.7,10.885,10.885,11.825,11.825,16.95,16.95,18.702,18.702
935,Girl 2 - 5 yrs,95.8,10.905,10.905,11.846,11.846,16.982,16.982,18.737,18.737
936,Girl 2 - 5 yrs,95.9,10.924,10.924,11.867,11.867,17.013,17.013,18.773,18.773
937,Girl 2 - 5 yrs,96,10.943,10.943,11.888,11.888,17.045,17.045,18.808,18.808
938,Girl 2 - 5 yrs,96.1,10.963,10.963,11.909,11.909,17.077,17.077,18.844,18.844
939,Girl 2 - 5 yrs,96.2,10.982,10.982,11.93,11.93,17.109,17.109,18.879,18.879
940,Girl 2 - 5 yrs,96.3,11.001,11.001,11.952,11.952,17.14,17.14,18.915,18.915
941,Girl 2 - 5 yrs,96.4,11.021,11.021,11.973,11.973,17.172,17.172,18.95,18.95
942,Girl 2 - 5 yrs,96.5,11.04,11.04,11.994,11.994,17.204,17.204,18.986,18.986
943,Girl 2 - 5 yrs,96.6,11.059,11.059,12.015,12.015,17.236,17.236,19.022,19.022
944,Girl 2 - 5 yrs,96.7,11.079,11.079,12.037,12.037,17.268,17.268,19.058,19.058
945,Girl 2 - 5 yrs,96.8,11.099,11.099,12.058,12.058,17.3,17.3,19.094,19.094
946,Girl 2 - 5 yrs,96.9,11.118,11.118,12.08,12.08,17.333,17.333,19.13,19.13
947,Girl 2 - 5 yrs,97,11.137,11.137,12.101,12.101,17.365,17.365,19.166,19.166
948,Girl 2 - 5 yrs,97.1,11.157,11.157,12.123,12.123,17.398,17.398,19.203,19.203
949,Girl 2 - 5 yrs,97.2,11.177,11.177,12.144,12.144,17.43,17.43,19.239,19.239
950,Girl 2 - 5 yrs,97.3,11.197,11.197,12.166,12.166,17.463,17.463,19.275,19.275
951,Girl 2 - 5 yrs,97.4,11.216,11.216,12.188,12.188,17.495,17.495,19.312,19.312
952,Girl 2 - 5 yrs,97.5,11.236,11.236,12.209,12.209,17.528,17.528,19.349,19.349
953,Girl 2 - 5 yrs,97.6,11.256,11.256,12.231,12.231,17.561,17.561,19.385,19.385
954,Girl 2 - 5 yrs,97.7,11.276,11.276,12.253,12.253,17.594,17.594,19.422,19.422
955,Girl 2 - 5 yrs,97.8,11.295,11.295,12.275,12.275,17.627,17.627,19.459,19.459
956,Girl 2 - 5 yrs,97.9,11.315,11.315,12.297,12.297,17.66,17.66,19.496,19.496
957,Girl 2 - 5 yrs,98,11.336,11.336,12.319,12.319,17.693,17.693,19.533,19.533
958,Girl 2 - 5 yrs,98.1,11.355,11.355,12.341,12.341,17.727,17.727,19.571,19.571
959,Girl 2 - 5 yrs,98.3,11.396,11.396,12.385,12.385,17.793,17.793,19.646,19.646
960,Girl 2 - 5 yrs,98.4,11.416,11.416,12.407,12.407,17.827,17.827,19.684,19.684
961,Girl 2 - 5 yrs,98.5,11.436,11.436,12.429,12.429,17.861,17.861,19.721,19.721
962,Girl 2 - 5 yrs,98.6,11.456,11.456,12.452,12.452,17.895,17.895,19.76,19.76
963,Girl 2 - 5 yrs,98.7,11.477,11.477,12.474,12.474,17.929,17.929,19.797,19.797
964,Girl 2 - 5 yrs,98.8,11.497,11.497,12.496,12.496,17.963,17.963,19.836,19.836
965,Girl 2 - 5 yrs,98.9,11.518,11.518,12.519,12.519,17.997,17.997,19.874,19.874
966,Girl 2 - 5 yrs,99,11.538,11.538,12.542,12.542,18.031,18.031,19.913,19.913
967,Girl 2 - 5 yrs,99.1,11.559,11.559,12.564,12.564,18.066,18.066,19.951,19.951
968,Girl 2 - 5 yrs,99.2,11.579,11.579,12.587,12.587,18.1,18.1,19.99,19.99
